tdepth,tpdensity
42.812,7.3297
51.08,6.9122
36.727,7.6639
53.239,6.8704
59.334,6.6278
179.09,4.596
160.75,4.757
164.59,4.7431
51.361,6.922
47.941,7.0831
54.177,6.8437
111.13,5.3733
129.51,5.1308
95.646,5.6954
69.153,6.26
77.127,6.0174
73.516,6.1784
82.046,5.9359
76.045,6.0969
40.064,7.4687
95.112,5.6655
51.153,7.0373
44.476,7.252
43.248,7.413
57.946,6.6456
53.674,6.8066
48.656,7.1051
45.497,7.2364
64.557,6.3592
74.901,6.1167
70.085,6.2777
52.535,6.8423
30.065,8.246
174.86,4.6614
159.1,4.7981
156.64,4.8482
98.193,5.6415
49.609,7.0132
99.934,5.6136
73.368,6.1782
82.084,5.9357
75.106,6.0967
87.026,5.8541
121.49,5.208
110.23,5.369
81.823,5.9336
42.899,7.3054
77.042,6.0807
50.776,6.9202
53.739,6.8539
51.369,6.9366
33.372,8.016
52.599,6.856
161.17,4.8242
59.204,6.6035
100.76,5.5359
59.648,6.5041
71.606,6.2615
99.429,5.6154
146.1,4.9693
143.21,4.9554
170.48,4.7128
62.11,6.4881
55.848,6.6492
67.493,6.4066
59.986,6.5676
46.191,7.1383
44.011,7.2794
80.419,6.0547
91.034,5.8121
101.13,5.5696
35.35,7.826
40.763,7.4105
133.86,5.0825
96.382,5.6471
41.778,7.4224
141.98,4.987
67.535,6.3588
74.504,6.1162
56.208,6.6808
64.278,6.4383
49.926,7.006
68.51,6.3428
75.017,6.1003
86.926,5.8577
123.6,5.2116
112.63,5.3726
86.667,5.8499
45.113,7.2275
49.143,7.0386
183.35,4.6032
61.891,6.5031
97.571,5.5972
145.14,4.9511
139.35,5.1121
49.673,7.043
83.343,5.9312
75.504,6.0922
85.216,5.8497
81.856,6.0107
